,Code,rcp,period,season,variable,parameter,value
246,PETITE,NA,present,annual,min,Tbtm,-1.62625348567963
247,RIM,NA,present,annual,min,Tbtm,2.8063952922821
248,SEPT,NA,present,annual,min,Tbtm,-0.329671859741211
249,CH33,NA,present,annual,min,Tbtm,-1.17336463928223
250,CH38,NA,present,annual,min,Tbtm,-1.03966629505157
251,MELM,NA,present,annual,min,Tbtm,-1.39049565792084
252,GreatBay,NA,present,annual,min,Tbtm,2.54763317108154
253,SUM,NA,present,fall,max,Sbtm,26.0575370788574
254,TH,NA,present,fall,max,Sbtm,29.9799308776855
255,MASI,NA,present,fall,max,Sbtm,30.3787231445312
256,SAC,NA,present,fall,max,Sbtm,30.3642730712891
257,PRJ,NA,present,fall,max,Sbtm,30.8835296630859
258,HEB,NA,present,fall,max,Sbtm,30.7869033813477
259,L3F,NA,present,fall,max,Sbtm,30.4758453369141
260,SAM,NA,present,fall,max,Sbtm,31.5538291931152
261,MASS,NA,present,fall,max,Sbtm,31.002513885498
262,PORT,NA,present,fall,max,Sbtm,31.2549610137939
263,POK,NA,present,fall,max,Sbtm,28.3246040344238
264,POUL,NA,present,fall,max,Sbtm,29.6599884033203
265,NRIV,NA,present,fall,max,Sbtm,28.5714225769043
266,BUCK,NA,present,fall,max,Sbtm,30.8045139312744
267,PETITE,NA,present,fall,max,Sbtm,29.3636741638184
268,RIM,NA,present,fall,max,Sbtm,33.0696067810059
269,SEPT,NA,present,fall,max,Sbtm,30.5500221252441
270,CH33,NA,present,fall,max,Sbtm,18.4640083312988
271,CH38,NA,present,fall,max,Sbtm,15.8943128585815
272,MELM,NA,present,fall,max,Sbtm,26.8156433105469
273,GreatBay,NA,present,fall,max,Sbtm,31.6343002319336
274,SUM,NA,present,fall,max,SSS,26.0533599853516
275,TH,NA,present,fall,max,SSS,29.9003944396973
276,MASI,NA,present,fall,max,SSS,30.3774166107178
277,SAC,NA,present,fall,max,SSS,30.3621387481689
278,PRJ,NA,present,fall,max,SSS,30.4715270996094
279,HEB,NA,present,fall,max,SSS,30.4624805450439
280,L3F,NA,present,fall,max,SSS,30.1741600036621
281,SAM,NA,present,fall,max,SSS,30.1748828887939
282,MASS,NA,present,fall,max,SSS,30.7073669433594
283,PORT,NA,present,fall,max,SSS,31.2332248687744
284,POK,NA,present,fall,max,SSS,28.3048191070557
285,POUL,NA,present,fall,max,SSS,29.4500713348389
286,NRIV,NA,present,fall,max,SSS,28.5746421813965
287,BUCK,NA,present,fall,max,SSS,30.8085765838623
288,PETITE,NA,present,fall,max,SSS,29.3628940582275
289,RIM,NA,present,fall,max,SSS,27.0651454925537
290,SEPT,NA,present,fall,max,SSS,29.6124820709229
291,CH33,NA,present,fall,max,SSS,18.3602828979492
292,CH38,NA,present,fall,max,SSS,15.4121341705322
293,MELM,NA,present,fall,max,SSS,26.8043727874756
294,GreatBay,NA,present,fall,max,SSS,30.9639148712158
295,SUM,NA,present,fall,max,SST,11.3993425369263
296,TH,NA,present,fall,max,SST,12.0992240905762
297,MASI,NA,present,fall,max,SST,12.1444902420044
298,SAC,NA,present,fall,max,SST,12.255687713623
299,PRJ,NA,present,fall,max,SST,12.3250894546509
300,HEB,NA,present,fall,max,SST,12.3711175918579
301,L3F,NA,present,fall,max,SST,11.9306631088257
302,SAM,NA,present,fall,max,SST,12.3635702133179
303,MASS,NA,present,fall,max,SST,13.3661813735962
304,PORT,NA,present,fall,max,SST,11.26819896698
305,POK,NA,present,fall,max,SST,10.3792085647583
306,POUL,NA,present,fall,max,SST,12.276873588562
307,NRIV,NA,present,fall,max,SST,11.9903135299683
308,BUCK,NA,present,fall,max,SST,8.44137001037598
309,PETITE,NA,present,fall,max,SST,10.8560028076172
310,RIM,NA,present,fall,max,SST,8.35892772674561
311,SEPT,NA,present,fall,max,SST,6.22281980514526
312,CH33,NA,present,fall,max,SST,5.21936988830566
313,CH38,NA,present,fall,max,SST,5.32240533828735
314,MELM,NA,present,fall,max,SST,12.3586864471436
315,GreatBay,NA,present,fall,max,SST,12.2974090576172
316,SUM,NA,present,fall,max,Tbtm,11.4312410354614
317,TH,NA,present,fall,max,Tbtm,11.5713176727295
318,MASI,NA,present,fall,max,Tbtm,12.1335973739624
319,SAC,NA,present,fall,max,Tbtm,12.2401599884033
320,PRJ,NA,present,fall,max,Tbtm,10.6872596740723
321,HEB,NA,present,fall,max,Tbtm,10.3681125640869
322,L3F,NA,present,fall,max,Tbtm,10.7457265853882
323,SAM,NA,present,fall,max,Tbtm,9.98695087432861
324,MASS,NA,present,fall,max,Tbtm,12.6311025619507
325,PORT,NA,present,fall,max,Tbtm,11.2322406768799
326,POK,NA,present,fall,max,Tbtm,10.4609060287476
327,POUL,NA,present,fall,max,Tbtm,11.1153364181519
328,NRIV,NA,present,fall,max,Tbtm,11.9977226257324
329,BUCK,NA,present,fall,max,Tbtm,8.43661499023438
330,PETITE,NA,present,fall,max,Tbtm,10.8769073486328
331,RIM,NA,present,fall,max,Tbtm,3.96546506881714
332,SEPT,NA,present,fall,max,Tbtm,6.39292764663696
333,CH33,NA,present,fall,max,Tbtm,5.27897071838379
334,CH38,NA,present,fall,max,Tbtm,5.50419902801514
335,MELM,NA,present,fall,max,Tbtm,12.37486743927
336,GreatBay,NA,present,fall,max,Tbtm,8.47018814086914
337,SUM,NA,present,fall,mean,Sbtm,25.9183197021484
338,TH,NA,present,fall,mean,Sbtm,29.9290180206299
339,MASI,NA,present,fall,mean,Sbtm,30.319995880127
340,SAC,NA,present,fall,mean,Sbtm,30.2995872497559
341,PRJ,NA,present,fall,mean,Sbtm,30.6611404418945
342,HEB,NA,present,fall,mean,Sbtm,30.6727142333984
343,L3F,NA,present,fall,mean,Sbtm,30.330602645874
344,SAM,NA,present,fall,mean,Sbtm,30.8863697052002
345,MASS,NA,present,fall,mean,Sbtm,30.8766746520996
346,PORT,NA,present,fall,mean,Sbtm,31.0658588409424
347,POK,NA,present,fall,mean,Sbtm,27.7342052459717
348,POUL,NA,present,fall,mean,Sbtm,29.6136531829834
349,NRIV,NA,present,fall,mean,Sbtm,28.3484363555908
350,BUCK,NA,present,fall,mean,Sbtm,30.616096496582
351,PETITE,NA,present,fall,mean,Sbtm,28.8726196289062
352,RIM,NA,present,fall,mean,Sbtm,32.4824142456055
353,SEPT,NA,present,fall,mean,Sbtm,29.6743755340576
354,CH33,NA,present,fall,mean,Sbtm,16.7418365478516
355,CH38,NA,present,fall,mean,Sbtm,13.5953617095947
356,MELM,NA,present,fall,mean,Sbtm,26.1913089752197
357,GreatBay,NA,present,fall,mean,Sbtm,31.6039428710938
358,SUM,NA,present,fall,mean,SSS,25.9129028320312
359,TH,NA,present,fall,mean,SSS,29.7837390899658
360,MASI,NA,present,fall,mean,SSS,30.3155975341797
361,SAC,NA,present,fall,mean,SSS,30.2928695678711
362,PRJ,NA,present,fall,mean,SSS,30.3737659454346
363,HEB,NA,present,fall,mean,SSS,30.3753776550293
364,L3F,NA,present,fall,mean,SSS,30.0582084655762
365,SAM,NA,present,fall,mean,SSS,30.0564441680908
366,MASS,NA,present,fall,mean,SSS,30.5401306152344
367,PORT,NA,present,fall,mean,SSS,31.0093269348145
368,POK,NA,present,fall,mean,SSS,27.6987018585205
369,POUL,NA,present,fall,mean,SSS,29.2598686218262
370,NRIV,NA,present,fall,mean,SSS,28.3409099578857
371,BUCK,NA,present,fall,mean,SSS,30.6198978424072
372,PETITE,NA,present,fall,mean,SSS,28.8692722320557
373,RIM,NA,present,fall,mean,SSS,26.2203502655029
374,SEPT,NA,present,fall,mean,SSS,28.8629150390625
375,CH33,NA,present,fall,mean,SSS,16.7221527099609
376,CH38,NA,present,fall,mean,SSS,13.3172302246094
377,MELM,NA,present,fall,mean,SSS,26.1833095550537
378,GreatBay,NA,present,fall,mean,SSS,30.8984107971191
379,SUM,NA,present,fall,mean,SST,5.5882396697998
380,TH,NA,present,fall,mean,SST,8.5117301940918
381,MASI,NA,present,fall,mean,SST,8.48797035217285
382,SAC,NA,present,fall,mean,SST,8.49279975891113
383,PRJ,NA,present,fall,mean,SST,9.18480014801025
384,HEB,NA,present,fall,mean,SST,9.23574066162109
385,L3F,NA,present,fall,mean,SST,8.57033252716064
386,SAM,NA,present,fall,mean,SST,8.83072185516357
387,MASS,NA,present,fall,mean,SST,9.62965965270996
388,PORT,NA,present,fall,mean,SST,8.06657981872559
389,POK,NA,present,fall,mean,SST,5.69940423965454
390,POUL,NA,present,fall,mean,SST,8.33864593505859
391,NRIV,NA,present,fall,mean,SST,7.5406665802002
392,BUCK,NA,present,fall,mean,SST,4.13006258010864
393,PETITE,NA,present,fall,mean,SST,6.29163312911987
394,RIM,NA,present,fall,mean,SST,4.66606950759888
395,SEPT,NA,present,fall,mean,SST,3.95248365402222
396,CH33,NA,present,fall,mean,SST,1.4374326467514
397,CH38,NA,present,fall,mean,SST,1.52738976478577
398,MELM,NA,present,fall,mean,SST,6.78385066986084
399,GreatBay,NA,present,fall,mean,SST,9.12946891784668
400,SUM,NA,present,fall,mean,Tbtm,5.62548065185547
401,TH,NA,present,fall,mean,Tbtm,8.3623104095459
402,MASI,NA,present,fall,mean,Tbtm,8.4856653213501
403,SAC,NA,present,fall,mean,Tbtm,8.48996925354004
404,PRJ,NA,present,fall,mean,Tbtm,8.51791191101074
405,HEB,NA,present,fall,mean,Tbtm,8.47880554199219
406,L3F,NA,present,fall,mean,Tbtm,8.1039342880249
407,SAM,NA,present,fall,mean,Tbtm,6.99533843994141
408,MASS,NA,present,fall,mean,Tbtm,9.62855052947998
409,PORT,NA,present,fall,mean,Tbtm,8.10031318664551
410,POK,NA,present,fall,mean,Tbtm,5.79179620742798
411,POUL,NA,present,fall,mean,Tbtm,8.02541065216064
412,NRIV,NA,present,fall,mean,Tbtm,7.56617021560669
413,BUCK,NA,present,fall,mean,Tbtm,4.14336919784546
414,PETITE,NA,present,fall,mean,Tbtm,6.31875133514404
415,RIM,NA,present,fall,mean,Tbtm,3.72531485557556
416,SEPT,NA,present,fall,mean,Tbtm,4.12075805664062
417,CH33,NA,present,fall,mean,Tbtm,1.48280429840088
418,CH38,NA,present,fall,mean,Tbtm,1.63403785228729
419,MELM,NA,present,fall,mean,Tbtm,6.80376243591309
420,GreatBay,NA,present,fall,mean,Tbtm,7.64481496810913
421,SUM,NA,present,fall,min,Sbtm,25.7219219207764
422,TH,NA,present,fall,min,Sbtm,29.8512020111084
423,MASI,NA,present,fall,min,Sbtm,30.2822875976562
424,SAC,NA,present,fall,min,Sbtm,30.2570381164551
425,PRJ,NA,present,fall,min,Sbtm,30.5462284088135
426,HEB,NA,present,fall,min,Sbtm,30.6008319854736
427,L3F,NA,present,fall,min,Sbtm,30.2231864929199
428,SAM,NA,present,fall,min,Sbtm,30.346399307251
429,MASS,NA,present,fall,min,Sbtm,30.7752418518066
430,PORT,NA,present,fall,min,Sbtm,30.9077453613281
431,POK,NA,present,fall,min,Sbtm,27.0987777709961
432,POUL,NA,present,fall,min,Sbtm,29.5767917633057
433,NRIV,NA,present,fall,min,Sbtm,28.1663665771484
434,BUCK,NA,present,fall,min,Sbtm,30.4780731201172
435,PETITE,NA,present,fall,min,Sbtm,28.4649887084961
436,RIM,NA,present,fall,min,Sbtm,31.8850479125977
437,SEPT,NA,present,fall,min,Sbtm,28.2613162994385
438,CH33,NA,present,fall,min,Sbtm,15.3929023742676
439,CH38,NA,present,fall,min,Sbtm,11.9014301300049
440,MELM,NA,present,fall,min,Sbtm,25.5724182128906
441,GreatBay,NA,present,fall,min,Sbtm,31.5870819091797
442,SUM,NA,present,fall,min,SSS,25.7163066864014
443,TH,NA,present,fall,min,SSS,29.6981239318848
444,MASI,NA,present,fall,min,SSS,30.2744579315186
445,SAC,NA,present,fall,min,SSS,30.2445278167725
446,PRJ,NA,present,fall,min,SSS,30.2888946533203
447,HEB,NA,present,fall,min,SSS,30.3077697753906
448,L3F,NA,present,fall,min,SSS,29.9590282440186
449,SAM,NA,present,fall,min,SSS,29.8972473144531
450,MASS,NA,present,fall,min,SSS,30.2822895050049
451,PORT,NA,present,fall,min,SSS,30.8463554382324
452,POK,NA,present,fall,min,SSS,27.0281734466553
453,POUL,NA,present,fall,min,SSS,29.0746574401855
454,NRIV,NA,present,fall,min,SSS,28.1556396484375
455,BUCK,NA,present,fall,min,SSS,30.4809494018555
456,PETITE,NA,present,fall,min,SSS,28.4674110412598
457,RIM,NA,present,fall,min,SSS,25.3886909484863
458,SEPT,NA,present,fall,min,SSS,27.8407573699951
459,CH33,NA,present,fall,min,SSS,15.438117980957
460,CH38,NA,present,fall,min,SSS,11.8242225646973
461,MELM,NA,present,fall,min,SSS,25.5682201385498
462,GreatBay,NA,present,fall,min,SSS,30.8368072509766
463,SUM,NA,present,fall,min,SST,0.119094707071781
464,TH,NA,present,fall,min,SST,4.93158054351807
465,MASI,NA,present,fall,min,SST,4.91352939605713
466,SAC,NA,present,fall,min,SST,4.81694602966309
467,PRJ,NA,present,fall,min,SST,6.10574674606323
468,HEB,NA,present,fall,min,SST,6.10792541503906
469,L3F,NA,present,fall,min,SST,5.19261121749878
470,SAM,NA,present,fall,min,SST,5.40034437179565
471,MASS,NA,present,fall,min,SST,6.12784624099731
472,PORT,NA,present,fall,min,SST,4.94784164428711
473,POK,NA,present,fall,min,SST,1.16203022003174
474,POUL,NA,present,fall,min,SST,4.54924345016479
